Frm,Track,xc,yc,w,h,Velocity(kmph)
1,12,3469,1912,174,98,0
1,6,2477,456,88,50,0
1,13,1826,1383,36,94,0
1,4,2391,391,82,50,0
1,8,2526,643,76,63,0
1,10,2692,660,90,62,0
1,14,1441,1364,97,41,0
1,11,2302,601,99,133,0
1,3,2067,994,137,72,0
1,7,2825,648,83,60,0
1,1,2373,1324,95,128,0
1,9,2437,516,75,63,0
1,2,1703,854,133,71,0
1,5,2491,404,86,49,0
2,12,3468,1911,175,97,4.10894604748289
2,6,2477,456,88,50,0
2,13,1826,1381,37,92,5.81092722740962
2,4,2392,391,82,51,2.90546361370481
2,8,2526,643,76,63,0
2,10,2692,660,89,62,0
2,14,1449,1367,95,40,24.8242919973777
2,11,2302,601,100,134,0
2,3,2076,994,136,72,26.1491725233433
2,7,2825,648,83,61,0
2,1,2376,1331,94,128,22.1273516493192
2,9,2437,516,74,62,0
2,2,1713,854,134,71,29.0546361370481
2,5,2491,404,86,49,0
3,12,3469,1911,174,97,2.9442126072222
3,6,2477,456,88,50,0
3,13,1827,1377,36,92,11.9775862017554
3,4,2392,391,81,51,0.0422123186444807
3,8,2526,643,76,64,0
3,10,2692,660,90,62,0
3,15,3634,648,112,46,0
3,14,1459,1369,100,40,29.7770625640652
3,11,2304,601,98,134,5.76903074739193
3,3,2088,994,137,71,34.9940953521519
3,7,2826,648,83,61,2.88451537369596
3,1,2378,1338,96,127,21.3210683388945
3,9,2436,516,73,63,2.88451537369596
3,2,1724,854,133,71,32.1517922971004
3,5,2492,404,86,49,2.88451537369596
4,12,3468,1911,175,98,2.72798932094654
4,6,2477,456,87,50,0
4,13,1827,1373,36,92,12.7472235796659
4,4,2392,391,82,51,-0.469079230694663
4,8,2526,643,76,65,0
4,10,2692,660,90,62,0
4,15,3634,648,111,45,0
4,14,1466,1371,101,42,23.5239434047737
4,11,2305,603,96,136,7.35338462862159
4,3,2101,994,136,71,38.8920076506616
4,7,2825,648,83,61,3.39136753082247
4,1,2381,1347,96,129,26.4514618932269
4,9,2435,516,71,62,3.39136753082247
4,2,1736,854,133,70,35.0315608891444
4,5,2492,404,86,50,0.974057173778612
5,12,3469,1911,176,97,2.68220976000894
5,6,2477,456,87,50,0
5,13,1828,1367,37,91,17.100522927035
5,4,2392,391,82,51,-0.573938262298062
5,8,2526,643,76,65,0
5,10,2692,660,90,62,0
5,15,3634,648,112,45,0
5,14,1475,1374,104,44,25.88225513311
5,11,2306,604,94,137,6.07113291408423
5,3,2114,994,136,71,39.9597756204656
5,7,2826,648,83,61,3.4938810345157
5,1,2384,1356,97,129,28.123383735611
5,9,2435,516,70,62,1.45978912475055
5,2,1748,854,134,69,35.8919563236519
5,5,2491,404,86,50,2.32932537732114
6,12,3468,1911,176,97,2.67947190153367
6,6,2477,456,87,50,0
6,13,1828,1362,37,91,16.9981334945887
6,4,2392,391,82,51,-0.577097866559248
6,8,2526,643,76,65,0
6,10,2691,660,90,62,1.74500701255168
6,15,3635,648,112,45,2.41731035704386
6,14,1483,1376,102,44,24.7813808079543
6,11,2306,605,93,137,4.70204616718108
6,3,2126,994,135,71,38.5009700514119
6,7,2825,648,83,61,3.49561153123834
6,1,2387,1363,96,128,25.4954004649282
6,9,2435,516,70,63,0.586527766281003
6,2,1761,855,134,69,37.9852913421907
6,5,2491,404,86,50,1.16716879550727
6,16,1474,1372,43,43,0
7,12,3468,1911,176,97,1.16502531688663
7,6,2477,456,87,50,0
7,13,1828,1359,37,93,13.7832212894499
7,4,2392,391,83,51,-0.550788399364259
7,8,2526,643,76,65,0
7,10,2691,660,90,62,1.10865814569598
7,15,3635,648,112,46,1.16455565719456
7,14,1491,1378,102,43,24.219904612617
7,11,2307,604,94,136,4.59465235302134
7,3,2138,994,136,72,37.6346131920195
7,7,2825,648,84,62,1.94395774126534
7,1,2390,1371,95,130,25.4980900354634
7,9,2435,516,70,62,0.142020271984934
7,2,1773,855,133,69,37.3997611486716
7,5,2491,404,86,50,0.556973968839636
7,16,1480,1374,40,44,18.3757653561016
8,12,3468,1911,177,97,0.311249006960608
8,6,2477,456,87,50,0
8,13,1828,1356,37,93,11.8773784755928
8,4,2392,392,82,51,0.835369573025817
8,8,2526,643,76,65,0
8,10,2691,660,90,61,0.72742424095038
8,15,3634,648,111,45,2.32844273573107
8,14,1498,1379,102,42,22.3229025329736
8,11,2308,605,95,138,4.51983987855119
8,3,2150,994,136,72,37.0729925393462
8,7,2825,648,83,62,1.04195149994389
8,1,2393,1379,94,130,25.4773104408942
8,9,2435,516,71,62,-0.101310725478137
8,2,1785,856,132,69,37.0533795510267
8,5,2491,404,86,50,0.209793034200016
8,16,1485,1375,38,43,14.9751743222008
9,12,3468,1911,176,97,-0.195451609674823
9,6,2477,456,87,49,0
9,13,1829,1352,37,93,12.0403791519722
9,4,2392,392,82,51,0.48852563802934
9,8,2526,643,76,65,0
9,10,2691,660,90,62,0.48435946929436
9,15,3634,648,111,45,1.3869837724257
9,14,1507,1382,101,40,24.1012223615994
9,11,2309,606,94,137,4.46477500889244
9,3,2163,995,134,72,37.9460111407986
9,7,2825,648,83,61,0.486256369767586
9,1,2395,1387,94,128,25.0866711811175
9,9,2435,516,70,62,-0.240295167844779
9,2,1797,856,133,70,36.7443565168303
9,5,2491,404,86,50,0.00137006779650819
9,16,1497,1376,42,44,31.1082902829406
10,12,3468,1911,176,97,-0.505841447617128
10,6,2477,456,87,50,0
10,13,1830,1349,38,95,11.0818114673696
10,4,2392,392,82,51,0.26158359565849
10,18,2066,1010,356,103,0
10,8,2526,643,75,65,0
10,10,2692,660,90,62,1.42435945450599
10,15,3634,648,112,45,0.832158465743883
10,14,1513,1384,101,40,21.8027559817184
10,11,2309,607,95,137,3.96590685532047
10,3,2176,995,133,73,38.4470227599217
