Frm,Track,xc,yc,w,h,Velocity(kmph),dx,dy,angle,N,NE,E,SE,S,SW,W,NW,direction
1,1,2373,1324,95,128,0.0,,,,,,,,,,,,
2,1,2376,1331,94,128,22.1273516493192,3.0,7.0,1.1659045405098132,0.0001565251560877491,0.0005235599256356612,0.0023747001834705235,0.01779364999595153,0.28476460816331167,0.9969727626404341,0.9956116855715004,0.2601583168336195,SW
3,1,2378,1338,96,127,21.3210683388945,2.0,7.0,1.2924966677897853,0.00013155769779620602,0.00042363652180621734,0.0018114148399492522,0.012271463174231603,0.17661466541911613,0.983280136350038,0.9995356138764494,0.408418333954874,W
4,1,2381,1347,96,129,26.4514618932269,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
5,1,2384,1356,97,129,28.123383735611,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
6,1,2387,1363,96,128,25.4954004649282,3.0,7.0,1.1659045405098132,0.0001565251560877491,0.0005235599256356612,0.0023747001834705235,0.01779364999595153,0.28476460816331167,0.9969727626404341,0.9956116855715004,0.2601583168336195,SW
7,1,2390,1371,95,130,25.4980900354634,3.0,8.0,1.2120256565243244,0.0001468375856702396,0.00048426649569432095,0.002148626354428119,0.015502707672938468,0.2398132217938096,0.994003298954848,0.9978703993441147,0.30831221970782935,W
8,1,2393,1379,94,130,25.4773104408942,3.0,8.0,1.2120256565243244,0.0001468375856702396,0.00048426649569432095,0.002148626354428119,0.015502707672938468,0.2398132217938096,0.994003298954848,0.9978703993441147,0.30831221970782935,W
9,1,2395,1387,94,128,25.0866711811175,2.0,8.0,1.3258176636680326,0.00012578072654052575,0.0004011621999999934,0.0016901707290526875,0.011167184083560735,0.1554993790966103,0.9756851860499574,0.9997834477384356,0.455242190656446,W
10,1,2398,1395,94,128,25.1473052558537,3.0,8.0,1.2120256565243244,0.0001468375856702396,0.00048426649569432095,0.002148626354428119,0.015502707672938468,0.2398132217938096,0.994003298954848,0.9978703993441147,0.30831221970782935,W
11,1,2402,1403,94,130,25.5859519455196,4.0,8.0,1.1071487177940904,0.00016996886693444616,0.0005791388603991162,0.0027041235665991536,0.02130068553062607,0.35190842905773045,0.9988901857903,0.9901570815051386,0.20846645851081255,SW
12,1,2405,1412,96,130,26.39773612108,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
13,1,2408,1420,97,130,26.1698931360958,3.0,8.0,1.2120256565243244,0.0001468375856702396,0.00048426649569432095,0.002148626354428119,0.015502707672938468,0.2398132217938096,0.994003298954848,0.9978703993441147,0.30831221970782935,W
14,1,2411,1428,94,130,25.9881028065598,3.0,8.0,1.2120256565243244,0.0001468375856702396,0.00048426649569432095,0.002148626354428119,0.015502707672938468,0.2398132217938096,0.994003298954848,0.9978703993441147,0.30831221970782935,W
15,1,2413,1437,94,130,26.354638354362,2.0,9.0,1.3521273809209546,0.00012142710775424345,0.000384392617633448,0.0016010678684930356,0.010375804598878142,0.1406394479834754,0.9679168768359656,0.9998903479449751,0.4939198841594753,W
16,1,2416,1445,94,130,26.1500853527359,3.0,8.0,1.2120256565243244,0.0001468375856702396,0.00048426649569432095,0.002148626354428119,0.015502707672938468,0.2398132217938096,0.994003298954848,0.9978703993441147,0.30831221970782935,W
17,1,2419,1453,94,130,25.9792671345263,3.0,8.0,1.2120256565243244,0.0001468375856702396,0.00048426649569432095,0.002148626354428119,0.015502707672938468,0.2398132217938096,0.994003298954848,0.9978703993441147,0.30831221970782935,W
18,1,2422,1462,95,129,26.4498932703942,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
19,1,2425,1469,95,130,25.6622809642715,3.0,7.0,1.1659045405098132,0.0001565251560877491,0.0005235599256356612,0.0023747001834705235,0.01779364999595153,0.28476460816331167,0.9969727626404341,0.9956116855715004,0.2601583168336195,SW
20,1,2427,1477,95,130,25.378868172038,2.0,8.0,1.3258176636680326,0.00012578072654052575,0.0004011621999999934,0.0016901707290526875,0.011167184083560735,0.1554993790966103,0.9756851860499574,0.9997834477384356,0.455242190656446,W
21,1,2430,1485,96,128,25.3102316900642,3.0,8.0,1.2120256565243244,0.0001468375856702396,0.00048426649569432095,0.002148626354428119,0.015502707672938468,0.2398132217938096,0.994003298954848,0.9978703993441147,0.30831221970782935,W
22,1,2433,1494,97,127,25.7817849048204,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
23,1,2436,1503,96,129,26.1855224712033,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
24,1,2438,1511,96,129,25.8669134674083,2.0,8.0,1.3258176636680326,0.00012578072654052575,0.0004011621999999934,0.0016901707290526875,0.011167184083560735,0.1554993790966103,0.9756851860499574,0.9997834477384356,0.455242190656446,W
25,1,2441,1520,97,130,26.2350818398336,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
26,1,2444,1528,96,129,26.0687538788019,3.0,8.0,1.2120256565243244,0.0001468375856702396,0.00048426649569432095,0.002148626354428119,0.015502707672938468,0.2398132217938096,0.994003298954848,0.9978703993441147,0.30831221970782935,W
27,1,2447,1537,96,129,26.3957855541011,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
28,1,2449,1545,95,130,26.0597035709848,2.0,8.0,1.3258176636680326,0.00012578072654052575,0.0004011621999999934,0.0016901707290526875,0.011167184083560735,0.1554993790966103,0.9756851860499574,0.9997834477384356,0.455242190656446,W
29,1,2450,1552,94,130,25.1706514322784,1.0,7.0,1.4288992721907328,0.0001096928669504002,0.00033993657298921764,0.0013707232150554395,0.008412611544855722,0.1051418562596119,0.933685537423995,0.9999917845105779,0.6113262062938162,W
30,1,2453,1560,96,131,25.0963499314435,3.0,8.0,1.2120256565243244,0.0001468375856702396,0.00048426649569432095,0.002148626354428119,0.015502707672938468,0.2398132217938096,0.994003298954848,0.9978703993441147,0.30831221970782935,W
31,1,2456,1569,97,130,25.4928423054899,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
32,1,2459,1577,96,131,25.3938987454927,3.0,8.0,1.2120256565243244,0.0001468375856702396,0.00048426649569432095,0.002148626354428119,0.015502707672938468,0.2398132217938096,0.994003298954848,0.9978703993441147,0.30831221970782935,W
33,1,2462,1585,94,131,25.3043216957701,3.0,8.0,1.2120256565243244,0.0001468375856702396,0.00048426649569432095,0.002148626354428119,0.015502707672938468,0.2398132217938096,0.994003298954848,0.9978703993441147,0.30831221970782935,W
34,1,2464,1594,95,131,25.549932877343,2.0,9.0,1.3521273809209546,0.00012142710775424345,0.000384392617633448,0.0016010678684930356,0.010375804598878142,0.1406394479834754,0.9679168768359656,0.9998903479449751,0.4939198841594753,W
35,1,2467,1603,96,130,25.9023171370651,3.0,9.0,1.2490457723982544,0.0001395644838034293,0.00045519692677485553,0.0019851442117103635,0.01390754299699555,0.2084571499871874,0.9901613789875412,0.9988912361192375,0.3518983216444272,W
