Frm,Track,xc,yc,w,h,Velocity(kmph),dx,dy,angle,N,NE,E,SE,S,SW,W,NW,direction
1,1,2373,1324,95,128,0.0,,,,,,,,,,,,
2,1,2376,1331,94,128,22.1273516493192,3.0,7.0,1.1659045405098132,0.9867117146688831,0.9713099979836094,0.9391577463900121,0.8755884404833294,0.7624037374212776,0.5939951306892217,0.40013770996402853,0.2332072905097019,N
3,1,2378,1338,96,127,21.3210683388945,2.0,7.0,1.2924966677897853,0.9882732803706155,0.9746349594195876,0.9460017595742443,0.8887360331332029,0.7845694734049294,0.6241260484825902,0.430870687523735,0.25660343323869494,N
4,1,2381,1347,96,129,26.4514618932269,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
5,1,2384,1356,97,129,28.123383735611,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
6,1,2387,1363,96,128,25.4954004649282,3.0,7.0,1.1659045405098132,0.9867117146688831,0.9713099979836094,0.9391577463900121,0.8755884404833294,0.7624037374212776,0.5939951306892217,0.40013770996402853,0.2332072905097019,N
7,1,2390,1371,95,130,25.4980900354634,3.0,8.0,1.2120256565243244,0.9873030490364042,0.9725676611953948,0.941740309519229,0.8805260703798835,0.7706568587292985,0.6050678946148217,0.41125732361518524,0.24155608790761915,N
8,1,2393,1379,94,130,25.4773104408942,3.0,8.0,1.2120256565243244,0.9873030490364042,0.9725676611953948,0.941740309519229,0.8805260703798835,0.7706568587292985,0.6050678946148217,0.41125732361518524,0.24155608790761915,N
9,1,2395,1387,94,128,25.0866711811175,2.0,8.0,1.3258176636680326,0.9886531822602734,0.9754457169701837,0.9476786162667915,0.8919882146890404,0.790147586578737,0.6319097438732124,0.4390599287787616,0.2630114360798381,N
10,1,2398,1395,94,128,25.1473052558537,3.0,8.0,1.2120256565243244,0.9873030490364042,0.9725676611953948,0.941740309519229,0.8805260703798835,0.7706568587292985,0.6050678946148217,0.41125732361518524,0.24155608790761915,N
11,1,2402,1403,94,130,25.5859519455196,4.0,8.0,1.1071487177940904,0.9859188438854479,0.9696264456354495,0.9357123612114678,0.8690452380182504,0.7515966996301082,0.5797506250331489,0.3861211330549827,0.22286583663735304,N
12,1,2405,1412,96,130,26.39773612108,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
13,1,2408,1420,97,130,26.1698931360958,3.0,8.0,1.2120256565243244,0.9873030490364042,0.9725676611953948,0.941740309519229,0.8805260703798835,0.7706568587292985,0.6050678946148217,0.41125732361518524,0.24155608790761915,N
14,1,2411,1428,94,130,25.9881028065598,3.0,8.0,1.2120256565243244,0.9873030490364042,0.9725676611953948,0.941740309519229,0.8805260703798835,0.7706568587292985,0.6050678946148217,0.41125732361518524,0.24155608790761915,N
15,1,2413,1437,94,130,26.354638354362,2.0,9.0,1.3521273809209546,0.988944555041434,0.9760680324356023,0.9489678586863456,0.8944969516167276,0.7944767363892807,0.6380078022842034,0.44554969098789676,0.26814298041214635,N
16,1,2416,1445,94,130,26.1500853527359,3.0,8.0,1.2120256565243244,0.9873030490364042,0.9725676611953948,0.941740309519229,0.8805260703798835,0.7706568587292985,0.6050678946148217,0.41125732361518524,0.24155608790761915,N
17,1,2419,1453,94,130,25.9792671345263,3.0,8.0,1.2120256565243244,0.9873030490364042,0.9725676611953948,0.941740309519229,0.8805260703798835,0.7706568587292985,0.6050678946148217,0.41125732361518524,0.24155608790761915,N
18,1,2422,1462,95,129,26.4498932703942,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
19,1,2425,1469,95,130,25.6622809642715,3.0,7.0,1.1659045405098132,0.9867117146688831,0.9713099979836094,0.9391577463900121,0.8755884404833294,0.7624037374212776,0.5939951306892217,0.40013770996402853,0.2332072905097019,N
20,1,2427,1477,95,130,25.378868172038,2.0,8.0,1.3258176636680326,0.9886531822602734,0.9754457169701837,0.9476786162667915,0.8919882146890404,0.790147586578737,0.6319097438732124,0.4390599287787616,0.2630114360798381,N
21,1,2430,1485,96,128,25.3102316900642,3.0,8.0,1.2120256565243244,0.9873030490364042,0.9725676611953948,0.941740309519229,0.8805260703798835,0.7706568587292985,0.6050678946148217,0.41125732361518524,0.24155608790761915,N
22,1,2433,1494,97,127,25.7817849048204,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
23,1,2436,1503,96,129,26.1855224712033,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
24,1,2438,1511,96,129,25.8669134674083,2.0,8.0,1.3258176636680326,0.9886531822602734,0.9754457169701837,0.9476786162667915,0.8919882146890404,0.790147586578737,0.6319097438732124,0.4390599287787616,0.2630114360798381,N
25,1,2441,1520,97,130,26.2350818398336,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
26,1,2444,1528,96,129,26.0687538788019,3.0,8.0,1.2120256565243244,0.9873030490364042,0.9725676611953948,0.941740309519229,0.8805260703798835,0.7706568587292985,0.6050678946148217,0.41125732361518524,0.24155608790761915,N
27,1,2447,1537,96,129,26.3957855541011,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
28,1,2449,1545,95,130,26.0597035709848,2.0,8.0,1.3258176636680326,0.9886531822602734,0.9754457169701837,0.9476786162667915,0.8919882146890404,0.790147586578737,0.6319097438732124,0.4390599287787616,0.2630114360798381,N
29,1,2450,1552,94,130,25.1706514322784,1.0,7.0,1.4288992721907328,0.9897531757982372,0.977797326562173,0.952560199637681,0.9015257959233607,0.8067293462524301,0.6555441641923148,0.46458521402278347,0.2834741511397954,N
30,1,2453,1560,96,131,25.0963499314435,3.0,8.0,1.2120256565243244,0.9873030490364042,0.9725676611953948,0.941740309519229,0.8805260703798835,0.7706568587292985,0.6050678946148217,0.41125732361518524,0.24155608790761915,N
31,1,2456,1569,97,130,25.4928423054899,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
32,1,2459,1577,96,131,25.3938987454927,3.0,8.0,1.2120256565243244,0.9873030490364042,0.9725676611953948,0.941740309519229,0.8805260703798835,0.7706568587292985,0.6050678946148217,0.41125732361518524,0.24155608790761915,N
33,1,2462,1585,94,131,25.3043216957701,3.0,8.0,1.2120256565243244,0.9873030490364042,0.9725676611953948,0.941740309519229,0.8805260703798835,0.7706568587292985,0.6050678946148217,0.41125732361518524,0.24155608790761915,N
34,1,2464,1594,95,131,25.549932877343,2.0,9.0,1.3521273809209546,0.988944555041434,0.9760680324356023,0.9489678586863456,0.8944969516167276,0.7944767363892807,0.6380078022842034,0.44554969098789676,0.26814298041214635,N
35,1,2467,1603,96,130,25.9023171370651,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
36,1,2470,1611,97,130,25.7679653246677,3.0,8.0,1.2120256565243244,0.9873030490364042,0.9725676611953948,0.941740309519229,0.8805260703798835,0.7706568587292985,0.6050678946148217,0.41125732361518524,0.24155608790761915,N
37,1,2474,1619,95,131,25.8352678987612,4.0,8.0,1.1071487177940904,0.9859188438854479,0.9696264456354495,0.9357123612114678,0.8690452380182504,0.7515966996301082,0.5797506250331489,0.3861211330549827,0.22286583663735304,N
38,1,2476,1627,95,131,25.5596001315566,2.0,8.0,1.3258176636680326,0.9886531822602734,0.9754457169701837,0.9476786162667915,0.8919882146890404,0.790147586578737,0.6319097438732124,0.4390599287787616,0.2630114360798381,N
39,1,2478,1635,96,131,25.3067910786345,2.0,8.0,1.3258176636680326,0.9886531822602734,0.9754457169701837,0.9476786162667915,0.8919882146890404,0.790147586578737,0.6319097438732124,0.4390599287787616,0.2630114360798381,N
40,1,2480,1644,97,131,25.543439096582,2.0,9.0,1.3521273809209546,0.988944555041434,0.9760680324356023,0.9489678586863456,0.8944969516167276,0.7944767363892807,0.6380078022842034,0.44554969098789676,0.26814298041214635,N
41,1,2482,1651,97,133,24.8305984816818,2.0,7.0,1.2924966677897853,0.9882732803706155,0.9746349594195876,0.9460017595742443,0.8887360331332029,0.7845694734049294,0.6241260484825902,0.430870687523735,0.25660343323869494,N
42,1,2485,1660,96,133,25.2395074199417,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
43,1,2487,1669,94,132,25.4882870221927,2.0,9.0,1.3521273809209546,0.988944555041434,0.9760680324356023,0.9489678586863456,0.8944969516167276,0.7944767363892807,0.6380078022842034,0.44554969098789676,0.26814298041214635,N
44,1,2490,1677,93,130,25.3924640205927,3.0,8.0,1.2120256565243244,0.9873030490364042,0.9725676611953948,0.941740309519229,0.8805260703798835,0.7706568587292985,0.6050678946148217,0.41125732361518524,0.24155608790761915,N
45,1,2492,1685,94,132,25.162196829933,2.0,8.0,1.3258176636680326,0.9886531822602734,0.9754457169701837,0.9476786162667915,0.8919882146890404,0.790147586578737,0.6319097438732124,0.4390599287787616,0.2630114360798381,N
