Frm,Track,xc,yc,w,h,Velocity(kmph),dx,dy,angle,N,NE,E,SE,S,SW,W,NW,direction
1,1,2373,1324,95,128,0.0,,,,,,,,,,,,
2,1,2376,1331,94,128,22.1273516493192,3.0,7.0,1.1659045405098132,0.002309449502506303,0.04567100776967592,0.3322625178405256,0.8892640242611856,0.875565599571448,0.31714307631358096,0.04226008227129868,4.296205014816531e-05,SE
3,1,2378,1338,96,127,21.3210683388945,2.0,7.0,1.2924966677897853,0.0012999752506505625,0.030204858569767307,0.2581808870446484,0.8118521228724469,0.9391508004490997,0.3996679252606191,0.06257038396446252,2.0582537771708204e-05,S
4,1,2381,1347,96,129,26.4514618932269,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
5,1,2384,1356,97,129,28.123383735611,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
6,1,2387,1363,96,128,25.4954004649282,3.0,7.0,1.1659045405098132,0.002309449502506303,0.04567100776967592,0.3322625178405256,0.8892640242611856,0.875565599571448,0.31714307631358096,0.04226008227129868,4.296205014816531e-05,SE
7,1,2390,1371,95,130,25.4980900354634,3.0,8.0,1.2120256565243244,0.0018788995294145314,0.03940345167070132,0.3040009991052348,0.862831141121252,0.9009209561947005,0.34606499035504684,0.04890336727067478,3.295967052792103e-05,S
8,1,2393,1379,94,130,25.4773104408942,3.0,8.0,1.2120256565243244,0.0018788995294145314,0.03940345167070132,0.3040009991052348,0.862831141121252,0.9009209561947005,0.34606499035504684,0.04890336727067478,3.295967052792103e-05,S
9,1,2395,1387,94,128,25.0866711811175,2.0,8.0,1.3258176636680326,0.0011127783262609254,0.026974734749143317,0.24055645597682138,0.7892020038735857,0.9525125117449919,0.42292617535120935,0.06908278312198007,1.6887735723303982e-05,S
10,1,2398,1395,94,128,25.1473052558537,3.0,8.0,1.2120256565243244,0.0018788995294145314,0.03940345167070132,0.3040009991052348,0.862831141121252,0.9009209561947005,0.34606499035504684,0.04890336727067478,3.295967052792103e-05,S
11,1,2402,1403,94,130,25.5859519455196,4.0,8.0,1.1071487177940904,0.0029889753409488968,0.05484711991605562,0.37025231485185855,0.9195052107602373,0.8400846717083019,0.28236078236563344,0.03491388192499474,5.992434560471956e-05,SE
12,1,2405,1412,96,130,26.39773612108,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
13,1,2408,1420,97,130,26.1698931360958,3.0,8.0,1.2120256565243244,0.0018788995294145314,0.03940345167070132,0.3040009991052348,0.862831141121252,0.9009209561947005,0.34606499035504684,0.04890336727067478,3.295967052792103e-05,S
14,1,2411,1428,94,130,25.9881028065598,3.0,8.0,1.2120256565243244,0.0018788995294145314,0.03940345167070132,0.3040009991052348,0.862831141121252,0.9009209561947005,0.34606499035504684,0.04890336727067478,3.295967052792103e-05,S
15,1,2413,1437,94,130,26.354638354362,2.0,9.0,1.3521273809209546,0.0009829192053996294,0.024638299813304718,0.2272040751096479,0.770786263012392,0.9619761089014974,0.4416793340194795,0.07460404009710317,1.4425715722065219e-05,S
